PV,Value
DIAG_MTCA01:PICO9_CH7:RNG1_EEGAIN_RD,2.009823731052851e-12
DIAG_MTCA01:PICO9_CH7:RNG1_EEOFST_RD,2.9055922598497652e-11
DIAG_MTCA04:PICO3_CH0:RNG0_EEGAIN_RD,2.494790207752118e-10
DIAG_MTCA04:PICO3_CH0:RNG0_EEOFST_RD,-2.4955399524628774e-08
DIAG_MTCA04:PICO3_CH0:RNG1_EEGAIN_RD,3.220916242052674e-11
DIAG_MTCA04:PICO3_CH0:RNG1_EEOFST_RD,-3.2578324482557264e-09
DIAG_MTCA04:PICO3_CH1:RNG0_EEGAIN_RD,2.494460193958048e-10
DIAG_MTCA04:PICO3_CH1:RNG0_EEOFST_RD,-2.3617600319880694e-08
DIAG_MTCA04:PICO3_CH1:RNG1_EEGAIN_RD,3.220311517448948e-11
DIAG_MTCA04:PICO3_CH1:RNG1_EEOFST_RD,-3.043476581865434e-09
DIAG_MTCA04:PICO3_CH2:RNG0_EEGAIN_RD,2.4946722465557514e-10
DIAG_MTCA04:PICO3_CH2:RNG0_EEOFST_RD,-1.6284991133375115e-08
DIAG_MTCA04:PICO3_CH2:RNG1_EEGAIN_RD,3.2205960120990085e-11
DIAG_MTCA04:PICO3_CH2:RNG1_EEOFST_RD,-2.0430306335583737e-09
DIAG_MTCA04:PICO3_CH3:RNG0_EEGAIN_RD,2.494888462489797e-10
DIAG_MTCA04:PICO3_CH3:RNG0_EEOFST_RD,-6.151454012837121e-09
DIAG_MTCA04:PICO3_CH3:RNG1_EEGAIN_RD,3.2207236877468404e-11
DIAG_MTCA04:PICO3_CH3:RNG1_EEOFST_RD,-6.862531098938973e-10
DIAG_MTCA04:PICO3_CH4:RNG0_EEGAIN_RD,2.494909279171509e-10
DIAG_MTCA04:PICO3_CH4:RNG0_EEOFST_RD,-3.748279553406064e-08
DIAG_MTCA04:PICO3_CH4:RNG1_EEGAIN_RD,3.220897507039133e-11
DIAG_MTCA04:PICO3_CH4:RNG1_EEOFST_RD,-4.850303714221127e-09
DIAG_MTCA04:PICO3_CH5:RNG0_EEGAIN_RD,2.495340878372332e-10
DIAG_MTCA04:PICO3_CH5:RNG0_EEOFST_RD,-1.8367511955830196e-08
DIAG_MTCA04:PICO3_CH5:RNG1_EEGAIN_RD,3.221360331262524e-11
DIAG_MTCA04:PICO3_CH5:RNG1_EEOFST_RD,-2.32703656344313e-09
DIAG_MTCA04:PICO3_CH6:RNG0_EEGAIN_RD,2.495264828095145e-10
DIAG_MTCA04:PICO3_CH6:RNG0_EEOFST_RD,-1.0562438035321975e-08
DIAG_MTCA04:PICO3_CH6:RNG1_EEGAIN_RD,3.221017549903671e-11
DIAG_MTCA04:PICO3_CH6:RNG1_EEOFST_RD,-1.2996596021608298e-09
DIAG_MTCA04:PICO3_CH7:RNG0_EEGAIN_RD,2.495683659731185e-10
DIAG_MTCA04:PICO3_CH7:RNG0_EEOFST_RD,2.2181882997074354e-08
DIAG_MTCA04:PICO3_CH7:RNG1_EEGAIN_RD,3.2215743961394594e-11
DIAG_MTCA04:PICO3_CH7:RNG1_EEOFST_RD,2.9862439188121925e-09
DIAG_MTCA04:PICO4_CH0:RNG0_EEGAIN_RD,2.495177953143468e-10
DIAG_MTCA04:PICO4_CH0:RNG0_EEOFST_RD,4.992973146045188e-09
DIAG_MTCA04:PICO4_CH0:RNG1_EEGAIN_RD,3.219254376962688e-11
DIAG_MTCA04:PICO4_CH0:RNG1_EEOFST_RD,6.255239659580525e-10
DIAG_MTCA04:PICO4_CH1:RNG0_EEGAIN_RD,2.495017803472166e-10
DIAG_MTCA04:PICO4_CH1:RNG0_EEOFST_RD,9.933114775151353e-09
DIAG_MTCA04:PICO4_CH1:RNG1_EEGAIN_RD,3.2193032961647106e-11
DIAG_MTCA04:PICO4_CH1:RNG1_EEOFST_RD,1.3691574540786178e-09
DIAG_MTCA04:PICO4_CH2:RNG0_EEGAIN_RD,2.494298378952209e-10
DIAG_MTCA04:PICO4_CH2:RNG0_EEOFST_RD,-2.1163838681559355e-08
DIAG_MTCA04:PICO4_CH2:RNG1_EEGAIN_RD,3.2184171994131816e-11
